city_key,city,country,lat,lon,abs_lat,population,elevation_m,lat_zone,story_tag,season_aegypti,season_start_aegypti,season_end_aegypti,cumulative_aegypti,peak_score_aegypti,bimodal_flag_aegypti,suitability_tier_aegypti,season_albopictus,season_start_albopictus,season_end_albopictus,cumulative_albopictus,peak_score_albopictus,bimodal_flag_albopictus,suitability_tier_albopictus,species_divergence,summer_vpd,altitude_suppressed,tropical_hotspot,invasion_front,mediterranean_pattern,year_round_suitability,emerging_suitability_zone,temperate_albopictus_advantage
"Tokyo, Japan",Tokyo,Japan,35.687,139.7495,35.687,37785000,32.0,Subtropics,Emerging Suitability,5,5.0,9.0,3.789,0.984,False,Seasonal,4,5.0,8.0,2.993,0.895,False,Seasonal,-1,0.749,False,False,False,False,False,True,False
"Jakarta, Indonesia",Jakarta,Indonesia,-6.175,106.8275,6.175,33756000,6.0,Tropics,Tropical Hotspot,12,1.0,12.0,11.668,0.999,True,Extended,12,1.0,12.0,9.823,0.867,False,Extended,0,0.566,False,True,False,False,True,False,False
"Delhi, India",Delhi,India,28.61,77.23,28.61,32226000,215.0,Subtropics,Standard,6,3.0,11.0,4.369,0.831,False,Seasonal,2,7.0,8.0,1.541,0.603,False,Marginal,-4,1.561,False,False,False,False,False,False,False
"Guangzhou, China",Guangzhou,China,23.13,113.26,23.13,26940000,24.0,Tropics,Tropical Hotspot,9,3.0,11.0,6.857,0.951,True,Extended,9,3.0,11.0,5.962,0.852,True,Extended,0,0.823,False,True,False,False,False,False,False
"Mumbai, India",Mumbai,India,19.0761,72.8775,19.0761,24973000,6.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.216,0.98,False,Extended,12,1.0,12.0,8.913,0.85,False,Extended,0,0.501,False,True,False,False,True,False,False
"Manila, Philippines",Manila,Philippines,14.5958,120.9772,14.5958,24922000,10.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.739,0.974,False,Extended,12,1.0,12.0,8.746,0.857,False,Extended,0,0.709,False,True,False,False,True,False,False
"Shanghai, China",Shanghai,China,31.2286,121.4747,31.2286,24073000,36.0,Subtropics,Emerging Suitability,6,5.0,10.0,4.217,0.897,False,Seasonal,4,5.0,8.0,3.27,0.981,False,Seasonal,-2,0.707,False,False,False,False,False,True,False
"São Paulo, Brazil",São Paulo,Brazil,-23.5504,-46.6339,23.5504,23086000,787.0,Subtropics,Emerging Suitability,8,1.0,12.0,5.039,0.66,False,Seasonal,8,1.0,12.0,6.069,0.878,False,Seasonal,0,0.561,False,False,False,False,False,True,False
"Seoul, Korea, South",Seoul,"Korea, South",37.5667,126.9833,37.5667,23016000,51.0,Subtropics,Emerging Suitability,4,6.0,9.0,2.98,0.872,False,Seasonal,4,5.0,8.0,2.973,0.96,False,Seasonal,0,0.676,False,False,False,False,False,True,False
"Mexico City, Mexico",Mexico City,Mexico,19.4333,-99.1333,19.4333,21804000,2242.0,Tropics,Altitude Protected,0,,,0.675,0.184,False,Minimal,5,4.0,8.0,3.131,0.458,True,Seasonal,5,0.556,True,False,False,False,False,False,False
