species,lat,lon,year,country_name,iso3,source_type,location_type,source,is_point
Ae. aegypti,-3.22,40.07,1958,Kenya,KEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-4.27,15.3,1960,Congo,COG,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-4.27,15.3,1960,Congo,COG,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-3.22,40.07,1960,Kenya,KEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-3.04,40.14,1960,Kenya,KEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,0.18,32.5,1960,Uganda,UGA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,4.63,-74.09,1960,Colombia,COL,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.01,1.05,1960,Ghana,GHA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.49,3.37,1960,Nigeria,NGA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,10.34,-67.04,1960,Venezuela,VEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,25.49,-80.99,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.12,-81.33,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.13,-97.55,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.15,-80.49,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.4,-98.19,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.47,-97.68,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.55,-81.17,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.57,-98.75,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.58,-81.8,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.65,-80.48,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.91,-81.89,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.93,-97.73,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,26.96,-81.18,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.04,-98.23,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.05,-98.71,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.07,-80.45,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.18,-82.32,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.18,-81.81,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.34,-81.34,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.38,-80.49,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.39,-80.89,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.47,-82.3,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.49,-81.81,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.69,-80.62,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.93,-82.31,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,27.95,-81.7,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,28.06,-81.15,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,28.31,-82.39,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,28.51,-81.32,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,29.06,-81.19,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,29.33,-82.74,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,29.46,-81.31,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,29.78,-90.12,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,29.86,-92.32,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,30.33,-82.28,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,32.06,-93.73,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,32.48,-92.15,1960,United States of America,USA,unpublished,polygon,Kraemer et al. 2015/2017,False
Ae. aegypti,24.85,67.01,1961,Pakistan,PAK,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,38.24,27.97,1961,Turkey,TUR,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.36,2.44,1962,Benin,BEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.24,-57.52,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.49,-58.27,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.53,-58.25,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.55,-57.75,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.79,-58.15,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.8,-58.18,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.82,-58.13,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.82,-58.23,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.92,-58.41,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.99,-58.43,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.0,-58.5,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.1,-58.49,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.45,-58.6,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.8,-77.24,1963,Jamaica,JAM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.99,-76.8,1963,Jamaica,JAM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.52,1964,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.36,-66.11,1964,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,22.59,88.31,1964,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-20.08,146.26,1965,Australia,AUS,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-17.54,-149.55,1965,French Polynesia,PYF,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,4.64,9.44,1965,Cameroon,CMR,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,4.64,9.44,1965,Cameroon,CMR,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,5.88,-4.82,1965,C?te d'Ivoire,CIV,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.59,3.35,1965,Nigeria,NGA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,11.56,104.92,1965,Cambodia,KHM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.08,100.06,1965,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.52,1965,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
