city,country,lat,lon,population,month,temp_mean_c,rh_mean_pct,precip_sum_mm,vpd_kpa,photoperiod_h,vpd_score,temp_score_aegypti,temp_score_albopictus,photo_factor_albopictus_temperate_only,latitude_weight,photoperiod_relevant,cpp_doy,cpp_month,T_postcpp,lag_days_raw,lag_days,tau_postcpp_days,q_persistence_start,temp_score_cpp_month,vpd_score_cpp_month,S_cpp,days_since_cpp,adult_persistence_tail,adult_persistence_tail_used,postcpp_applicable,suitability_score_aegypti,suitability_score_albopictus_base,suitability_score_albopictus,era5land_fallback_deg,elevation_m,special_interest
Tokyo,Japan,35.687,139.7495,37785000,1,3.7,67.5,66.4,0.2589,9.84,1.0,0.0,0.0,0.0023,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-220.0,0.0,False,False,0.0,0.0,0.0,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,2,4.58,67.0,65.3,0.2798,10.7,1.0,0.0,0.0,0.0023,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-189.0,0.0,False,False,0.0,0.0,0.0,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,3,8.08,69.1,108.1,0.3329,11.73,1.0,0.0,0.0,0.0023,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-161.0,0.0,False,False,0.0,0.0,0.0,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,4,13.17,72.3,107.8,0.4199,12.91,1.0,0.0,0.1594,0.1255,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-130.0,0.0,False,False,0.0,0.02,0.02,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,5,17.92,75.2,124.5,0.5087,13.89,1.0,0.2434,0.512,0.9972,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-100.0,0.0,False,False,0.2434,0.5106,0.5106,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,6,21.3,80.8,157.2,0.4877,14.4,1.0,0.5223,0.763,1.0,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-69.0,0.0,False,False,0.5223,0.763,0.763,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,7,25.0,82.6,146.2,0.5513,14.19,1.0,0.827,0.9631,0.9997,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-39.0,0.0,False,False,0.827,0.9628,0.9628,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,8,26.31,79.8,111.5,0.6923,13.35,1.0,0.9347,0.8668,0.8268,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,-8.0,0.0,False,False,0.9347,0.7166,0.7166,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,9,22.86,79.6,176.8,0.5695,12.21,1.0,0.6504,0.8783,0.0028,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,23.0,0.4774,True,True,0.6504,0.0025,0.4774,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,10,17.28,78.2,195.4,0.4301,11.07,1.0,0.1907,0.4646,0.0023,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,53.0,0.3192,True,True,0.1907,0.0011,0.3192,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,11,11.72,75.6,84.1,0.3357,10.08,1.0,0.0,0.0523,0.0023,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,84.0,0.2106,True,True,0.0,0.0001,0.2106,0.0,32.0,0
Tokyo,Japan,35.687,139.7495,37785000,12,6.41,70.7,56.3,0.2822,9.59,1.0,0.0,0.0,0.0023,0.9977,True,235.0,8.0,23.92,89.716,89.716,74.5166,0.75,0.8668,1.0,0.6501,114.0,0.1408,True,True,0.0,0.0,0.1408,0.0,32.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,1,25.74,85.4,315.9,0.4839,12.32,1.0,0.8879,0.9086,0.9999,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.8879,0.9085,0.9085,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,2,25.76,86.0,286.8,0.4646,12.2,1.0,0.8895,0.9072,0.9999,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.8895,0.9071,0.9071,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,3,26.12,85.1,243.4,0.5042,12.04,1.0,0.9195,0.8803,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9195,0.8802,0.8802,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,4,26.35,85.0,199.6,0.5131,11.86,1.0,0.9383,0.8636,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9383,0.8634,0.8634,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,5,26.51,83.7,122.8,0.5656,11.72,1.0,0.9516,0.8517,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9516,0.8515,0.8515,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,6,26.37,81.3,89.9,0.6421,11.64,1.0,0.9395,0.8625,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9395,0.8623,0.8623,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,7,26.3,77.5,69.6,0.7687,11.67,1.0,0.9337,0.8676,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9337,0.8675,0.8675,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,8,26.68,74.2,44.6,0.9038,11.8,1.0,0.9657,0.8391,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9657,0.8389,0.8389,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,9,27.14,73.0,57.2,0.9718,11.97,1.0,0.9965,0.8053,0.9998,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9965,0.8051,0.8051,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,10,27.14,76.2,125.4,0.856,12.14,1.0,0.9968,0.8056,0.9999,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9968,0.8055,0.8055,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,11,26.54,81.9,208.8,0.6272,12.29,1.0,0.9542,0.8494,0.9999,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9542,0.8493,0.8493,0.0,6.0,0
Jakarta,Indonesia,-6.175,106.8275,33756000,12,26.04,84.2,264.9,0.5339,12.36,1.0,0.9125,0.8866,0.9999,0.0002,False,,,,,,,0.75,,,,,0.0,False,False,0.9125,0.8865,0.8865,0.0,6.0,0
Delhi,India,28.61,77.23,32226000,1,13.5,66.1,26.7,0.5252,10.37,1.0,0.0,0.184,0.0721,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-231.0,0.0,False,False,0.0,0.0133,0.0133,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,2,16.78,59.7,34.0,0.7703,11.01,1.0,0.1494,0.4274,0.0721,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-200.0,0.0,False,False,0.1494,0.0308,0.0308,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,3,22.26,47.2,23.9,1.4173,11.79,0.7914,0.6012,0.834,0.0736,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-172.0,0.0,False,False,0.4757,0.0486,0.0486,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,4,28.81,29.9,15.5,2.7759,12.69,0.1121,0.8584,0.6827,0.7142,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-141.0,0.0,False,False,0.0962,0.0546,0.0546,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,5,32.74,30.4,21.3,3.4526,13.43,0.0,0.5316,0.3925,0.9989,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-111.0,0.0,False,False,0.0,0.0,0.0,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,6,33.05,46.0,73.1,2.7252,13.81,0.1374,0.5066,0.3702,0.9999,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-80.0,0.0,False,False,0.0696,0.0509,0.0509,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,7,29.9,71.6,201.2,1.1961,13.65,0.9019,0.7678,0.6022,0.9998,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-50.0,0.0,False,False,0.6925,0.5431,0.5431,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,8,28.63,77.7,180.8,0.8733,13.02,1.0,0.8729,0.6956,0.9714,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,-19.0,0.0,False,False,0.8729,0.6757,0.6757,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,9,27.82,72.0,95.5,1.0454,12.16,0.9773,0.9404,0.7555,0.1012,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,12.0,0.4917,True,True,0.919,0.0747,0.4917,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,10,25.27,54.5,13.7,1.4631,11.29,0.7684,0.8491,0.9433,0.0721,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,42.0,0.3652,True,True,0.6525,0.0523,0.3652,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,11,20.28,54.5,5.6,1.0826,10.55,0.9587,0.4381,0.6873,0.0721,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,73.0,0.2686,True,True,0.42,0.0475,0.2686,0.0,215.0,0
Delhi,India,28.61,77.23,32226000,12,15.33,60.7,7.5,0.6851,10.19,1.0,0.0294,0.3195,0.0721,0.9279,True,246.0,9.0,30.54,121.492,121.492,100.9093,0.75,0.7555,0.9773,0.5537,103.0,0.1995,True,True,0.0294,0.023,0.1995,0.0,215.0,0
Guangzhou,China,23.13,113.26,26940000,1,14.3,66.7,48.7,0.5425,10.72,1.0,0.0,0.2436,0.5461,0.4539,True,253.0,9.0,26.32,101.236,101.236,84.085,0.75,0.8257,1.0,0.6193,-238.0,0.0,False,False,0.0,0.133,0.133,0.0,24.0,0
Guangzhou,China,23.13,113.26,26940000,2,16.1,72.3,63.9,0.507,11.23,1.0,0.0929,0.3766,0.5462,0.4539,True,253.0,9.0,26.32,101.236,101.236,84.085,0.75,0.8257,1.0,0.6193,-207.0,0.0,False,False,0.0929,0.2057,0.2057,0.0,24.0,0
Guangzhou,China,23.13,113.26,26940000,3,19.2,77.3,136.7,0.5052,11.84,1.0,0.3487,0.6068,0.5573,0.4539,True,253.0,9.0,26.32,101.236,101.236,84.085,0.75,0.8257,1.0,0.6193,-179.0,0.0,False,False,0.3487,0.3382,0.3382,0.0,24.0,0
Guangzhou,China,23.13,113.26,26940000,4,22.96,80.5,220.7,0.5461,12.54,1.0,0.6587,0.8857,0.942,0.4539,True,253.0,9.0,26.32,101.236,101.236,84.085,0.75,0.8257,1.0,0.6193,-148.0,0.0,False,False,0.6587,0.8344,0.8344,0.0,24.0,0
