city,country,lat,lon,season_aegypti_1991_2020,season_albopictus_1991_2020,season_aegypti_1961_1990,season_albopictus_1961_1990,delta_aegypti,delta_albopictus,abs_lat,temp_mean_c
Aba,Nigeria,5.1167,7.3667,12,12,12,12,0,0,5.1167,25.96166666666667
Abeokuta,Nigeria,7.1608,3.3483,12,12,12,12,0,0,7.1608,26.905
Abhepur,India,39.41,116.38,5,4,5,4,0,0,39.41,13.686666666666667
Abidjan,Côte d’Ivoire,5.3364,-4.0267,12,12,12,12,0,0,5.3364,26.04416666666667
Abomey-Calavi,Benin,6.4486,2.3556,12,12,12,12,0,0,6.4486,26.735
Abu Dhabi,United Arab Emirates,24.4667,54.3667,10,5,11,5,-1,0,24.4667,27.53333333333333
Abuja,Nigeria,9.0667,7.4833,9,8,10,9,-1,-1,9.0667,26.6075
Abū Ţisht,Egypt,26.1204,32.0954,2,0,1,0,1,0,26.1204,24.594166666666666
Abū Ḩummuş,Egypt,31.0931,30.3142,8,4,7,4,1,0,31.0931,20.945833333333333
Acapulco de Juárez,Mexico,16.8636,-99.8825,12,12,12,12,0,0,16.8636,27.224999999999998
Ad Dammām,Saudi Arabia,26.4333,50.1,4,1,4,1,0,0,26.4333,26.484166666666667
Adachi,Japan,35.7833,139.8,5,4,4,4,1,0,35.7833,15.844999999999999
Adana,Turkey,37.0,35.3213,6,4,6,4,0,0,37.0,18.9925
Addis Ababa,Ethiopia,9.03,38.74,0,6,0,4,0,2,9.03,15.633333333333333
Adelaide,Australia,-34.9275,138.6,4,4,3,4,1,0,34.9275,15.8125
Aden,Yemen,12.8,45.0333,12,12,12,12,0,0,12.8,27.709166666666665
Agadir,Morocco,30.4214,-9.5831,7,5,6,4,1,1,30.4214,20.679166666666667
Agartala,India,23.8314,91.2869,11,10,11,10,0,0,23.8314,25.250833333333333
Agege,Nigeria,6.6219,3.3258,12,12,12,12,0,0,6.6219,26.691666666666666
Aguascalientes,Mexico,21.876,-102.296,5,7,5,7,0,0,21.876,18.108333333333334
Ahmedabad,India,23.0225,72.5714,9,7,8,7,1,0,23.0225,27.250833333333333
Ahvāz,Iran,31.3047,48.6783,3,0,2,0,1,0,31.3047,26.653333333333332
Ailan Mubage,China,43.908,81.2777,3,4,3,4,0,0,43.908,10.830833333333333
Ajmer,India,26.4499,74.6399,6,2,6,2,0,0,26.4499,25.497500000000002
Akron,United States,41.0798,-81.5219,3,4,3,3,0,1,41.0798,10.596666666666666
Aksu,China,41.185,80.2904,3,4,3,4,0,0,41.185,9.434166666666668
Akure,Nigeria,7.25,5.195,12,12,12,12,0,0,7.25,25.3475
Al Başrah,Iraq,30.515,47.81,2,0,3,0,-1,0,30.515,27.110833333333332
Al Fashn,Egypt,28.8231,30.899,4,1,4,1,0,0,28.8231,23.299166666666665
Al Fayyūm,Egypt,29.3,30.8333,5,2,6,2,-1,0,29.3,23.213333333333335
Al Hufūf,Saudi Arabia,25.3608,49.5997,2,0,2,0,0,0,25.3608,26.875833333333333
Al Mafraq,Jordan,32.3399,36.2052,6,4,6,4,0,0,32.3399,17.920833333333334
Al Manşūrah,Egypt,31.05,31.3833,8,5,8,4,0,1,31.05,21.8025
Al Maḩallah al Kubrá,Egypt,30.9667,31.1667,8,5,8,4,0,1,30.9667,21.772499999999997
Al Mukallā,Yemen,14.5333,49.1333,12,12,12,12,0,0,14.5333,27.745
Al Qaţīf,Saudi Arabia,26.5196,50.0115,4,1,4,1,0,0,26.5196,26.484166666666667
Al Ḩillah,Iraq,32.4833,44.4333,0,0,1,0,-1,0,32.4833,26.0125
Al ‘Amārah,Iraq,31.8333,47.15,2,0,2,0,0,0,31.8333,26.89
Al ‘Ayn,United Arab Emirates,24.2075,55.7447,4,0,3,0,1,0,24.2075,28.205833333333334
Albany,United States,42.6664,-73.7987,3,4,3,3,0,1,42.6664,9.563333333333334
Albuquerque,United States,35.1054,-106.6465,3,3,3,4,0,-1,35.1054,14.082500000000001
Aleppo,Syria,36.2319,37.1681,5,2,6,4,-1,-2,36.2319,18.628333333333334
Alexandria,Egypt,31.1975,29.8925,7,4,7,4,0,0,31.1975,20.705833333333334
Algiers,Algeria,36.7325,3.0872,6,4,5,4,1,0,36.7325,18.538333333333334
Allentown,United States,40.5961,-75.4756,4,4,3,4,1,0,40.5961,11.900833333333333
Almaty,Kazakhstan,43.24,76.915,0,3,0,3,0,0,43.24,5.4316666666666675
Alīgarh,India,27.88,78.08,6,2,6,2,0,0,27.88,24.860833333333332
Amman,Jordan,31.9497,35.9328,6,4,6,4,0,0,31.9497,17.909166666666668
Amritsar,India,31.64,74.86,6,2,6,2,0,0,31.64,23.659166666666668
Amrāvati,India,20.9258,77.7647,8,8,8,8,0,0,20.9258,26.8625
Amsterdam,Netherlands,52.3728,4.8936,0,3,0,3,0,0,52.3728,10.466666666666667
An Najaf,Iraq,32.029,44.3396,1,0,2,0,-1,0,32.029,24.97583333333333
An Nāşirīyah,Iraq,31.0439,46.2575,2,0,1,0,1,0,31.0439,26.965833333333332
Andijon,Uzbekistan,40.7833,72.3333,2,1,2,1,0,0,40.7833,15.7425
Ankang,China,32.6854,109.029,5,4,5,4,0,0,32.6854,15.770000000000001
Ankara,Turkey,39.93,32.85,3,4,3,3,0,1,39.93,11.808333333333332
Anqing,China,30.5318,117.1153,6,4,5,4,1,0,30.5318,17.500833333333333
Anqiu,China,36.478,119.219,5,4,5,4,0,0,36.478,13.636666666666665
Ansan,"Korea, South",37.3167,126.8333,4,3,4,3,0,0,37.3167,12.150833333333333
Anshan,China,41.108,122.994,4,4,3,4,1,0,41.108,9.466666666666667
Anshun,China,26.2531,105.9476,5,5,5,5,0,0,26.2531,15.005
Antalya,Turkey,36.8874,30.7075,5,2,5,2,0,0,36.8874,18.4025
Antananarivo,Madagascar,-18.91,47.525,7,9,5,9,2,0,18.91,18.040833333333335
Antipolo,Philippines,14.5842,121.1763,12,12,12,12,0,0,14.5842,26.18166666666667
Antwerp,Belgium,51.2178,4.4003,1,3,0,3,1,0,51.2178,10.951666666666668
Ar Ramādī,Iraq,33.4258,43.2992,2,0,2,0,0,0,33.4258,24.07166666666667
Ar Rayyān,Qatar,25.25,51.4,6,1,5,1,1,0,25.25,27.560000000000002
Aracaju,Brazil,-10.9111,-37.0717,12,12,12,12,0,0,10.9111,25.548333333333332
Ardabīl,Iran,38.2517,48.2975,2,3,0,3,2,0,38.2517,9.1925
Arequipa,Peru,-16.3989,-71.5369,0,0,0,0,0,0,16.3989,13.347500000000002
Arusha,Tanzania,-3.3667,36.6833,7,12,4,11,3,1,3.3667,18.340833333333332
Arāk,Iran,34.0914,49.6933,0,2,0,2,0,0,34.0914,12.696666666666665
As Sulaymānīyah,Iraq,35.55,45.4333,1,1,2,2,-1,-1,35.55,17.30333333333333
Asaba,Nigeria,6.1833,6.7333,12,12,12,12,0,0,6.1833,27.291666666666668
Ashgabat,Turkmenistan,37.9375,58.38,2,1,2,1,0,0,37.9375,17.585833333333333
