lat_band,lat_band_label,lat_band_mid,city_count,species,threshold,median_season,mean_season,tropic_line
0,0–5°,2.5,55,Ae. aegypti,Early (0.2),12.0,10.96,
5,5–10°,7.5,114,Ae. aegypti,Early (0.2),12.0,11.46,
10,10–15°,12.5,89,Ae. aegypti,Early (0.2),12.0,11.3,
15,15–20°,17.5,82,Ae. aegypti,Early (0.2),12.0,9.32,
20,20–25°,22.5,153,Ae. aegypti,Early (0.2),10.0,9.61,Tropics boundary (23.5°)
25,25–30°,27.5,194,Ae. aegypti,Early (0.2),7.0,7.02,
30,30–35°,32.5,259,Ae. aegypti,Early (0.2),6.0,5.64,
35,35–40°,37.5,235,Ae. aegypti,Early (0.2),5.0,4.65,
40,40–45°,42.5,119,Ae. aegypti,Early (0.2),4.0,3.86,
45,45–50°,47.5,43,Ae. aegypti,Early (0.2),3.0,2.86,
50,50–55°,52.5,56,Ae. aegypti,Early (0.2),2.0,1.8,
55,55–60°,57.5,23,Ae. aegypti,Early (0.2),1.0,1.13,
60,60–65°,62.5,1,Ae. aegypti,Early (0.2),1.0,1.0,
0,0–5°,2.5,55,Ae. albopictus,Early (0.2),12.0,11.58,
5,5–10°,7.5,114,Ae. albopictus,Early (0.2),12.0,11.87,
10,10–15°,12.5,89,Ae. albopictus,Early (0.2),12.0,11.37,
15,15–20°,17.5,82,Ae. albopictus,Early (0.2),12.0,10.5,
20,20–25°,22.5,153,Ae. albopictus,Early (0.2),11.0,10.15,Tropics boundary (23.5°)
25,25–30°,27.5,194,Ae. albopictus,Early (0.2),5.0,4.53,
30,30–35°,32.5,259,Ae. albopictus,Early (0.2),4.0,3.75,
35,35–40°,37.5,235,Ae. albopictus,Early (0.2),4.0,3.77,
40,40–45°,42.5,119,Ae. albopictus,Early (0.2),4.0,3.78,
45,45–50°,47.5,43,Ae. albopictus,Early (0.2),4.0,3.7,
50,50–55°,52.5,56,Ae. albopictus,Early (0.2),3.0,3.45,
55,55–60°,57.5,23,Ae. albopictus,Early (0.2),3.0,2.96,
60,60–65°,62.5,1,Ae. albopictus,Early (0.2),3.0,3.0,
0,0–5°,2.5,55,Ae. aegypti,Moderate (0.3),12.0,10.55,
5,5–10°,7.5,114,Ae. aegypti,Moderate (0.3),12.0,11.14,
10,10–15°,12.5,89,Ae. aegypti,Moderate (0.3),12.0,10.69,
15,15–20°,17.5,82,Ae. aegypti,Moderate (0.3),11.0,8.83,
20,20–25°,22.5,153,Ae. aegypti,Moderate (0.3),9.0,8.71,Tropics boundary (23.5°)
25,25–30°,27.5,194,Ae. aegypti,Moderate (0.3),6.0,6.16,
30,30–35°,32.5,259,Ae. aegypti,Moderate (0.3),5.0,4.92,
35,35–40°,37.5,235,Ae. aegypti,Moderate (0.3),4.0,4.09,
40,40–45°,42.5,119,Ae. aegypti,Moderate (0.3),3.0,3.24,
45,45–50°,47.5,43,Ae. aegypti,Moderate (0.3),3.0,2.58,
50,50–55°,52.5,56,Ae. aegypti,Moderate (0.3),1.0,0.98,
55,55–60°,57.5,23,Ae. aegypti,Moderate (0.3),1.0,0.52,
60,60–65°,62.5,1,Ae. aegypti,Moderate (0.3),0.0,0.0,
0,0–5°,2.5,55,Ae. albopictus,Moderate (0.3),12.0,11.33,
5,5–10°,7.5,114,Ae. albopictus,Moderate (0.3),12.0,11.6,
10,10–15°,12.5,89,Ae. albopictus,Moderate (0.3),12.0,11.12,
15,15–20°,17.5,82,Ae. albopictus,Moderate (0.3),12.0,9.77,
20,20–25°,22.5,153,Ae. albopictus,Moderate (0.3),9.0,8.79,Tropics boundary (23.5°)
25,25–30°,27.5,194,Ae. albopictus,Moderate (0.3),5.0,3.95,
30,30–35°,32.5,259,Ae. albopictus,Moderate (0.3),4.0,3.54,
35,35–40°,37.5,235,Ae. albopictus,Moderate (0.3),4.0,3.65,
40,40–45°,42.5,119,Ae. albopictus,Moderate (0.3),4.0,3.61,
45,45–50°,47.5,43,Ae. albopictus,Moderate (0.3),3.0,3.37,
50,50–55°,52.5,56,Ae. albopictus,Moderate (0.3),3.0,2.89,
55,55–60°,57.5,23,Ae. albopictus,Moderate (0.3),3.0,2.65,
60,60–65°,62.5,1,Ae. albopictus,Moderate (0.3),2.0,2.0,
0,0–5°,2.5,55,Ae. aegypti,Strict (0.4),12.0,9.96,
5,5–10°,7.5,114,Ae. aegypti,Strict (0.4),12.0,10.75,
10,10–15°,12.5,89,Ae. aegypti,Strict (0.4),12.0,10.11,
15,15–20°,17.5,82,Ae. aegypti,Strict (0.4),10.0,8.05,
20,20–25°,22.5,153,Ae. aegypti,Strict (0.4),8.0,7.81,Tropics boundary (23.5°)
25,25–30°,27.5,194,Ae. aegypti,Strict (0.4),5.0,5.2,
30,30–35°,32.5,259,Ae. aegypti,Strict (0.4),5.0,4.32,
35,35–40°,37.5,235,Ae. aegypti,Strict (0.4),4.0,3.41,
40,40–45°,42.5,119,Ae. aegypti,Strict (0.4),3.0,2.72,
45,45–50°,47.5,43,Ae. aegypti,Strict (0.4),2.0,1.91,
50,50–55°,52.5,56,Ae. aegypti,Strict (0.4),0.0,0.3,
55,55–60°,57.5,23,Ae. aegypti,Strict (0.4),0.0,0.09,
60,60–65°,62.5,1,Ae. aegypti,Strict (0.4),0.0,0.0,
0,0–5°,2.5,55,Ae. albopictus,Strict (0.4),12.0,11.02,
5,5–10°,7.5,114,Ae. albopictus,Strict (0.4),12.0,11.21,
10,10–15°,12.5,89,Ae. albopictus,Strict (0.4),12.0,10.7,
15,15–20°,17.5,82,Ae. albopictus,Strict (0.4),11.0,9.18,
20,20–25°,22.5,153,Ae. albopictus,Strict (0.4),7.0,7.33,Tropics boundary (23.5°)
25,25–30°,27.5,194,Ae. albopictus,Strict (0.4),4.0,3.55,
30,30–35°,32.5,259,Ae. albopictus,Strict (0.4),4.0,3.29,
35,35–40°,37.5,235,Ae. albopictus,Strict (0.4),4.0,3.39,
40,40–45°,42.5,119,Ae. albopictus,Strict (0.4),3.0,3.27,
45,45–50°,47.5,43,Ae. albopictus,Strict (0.4),3.0,3.14,
50,50–55°,52.5,56,Ae. albopictus,Strict (0.4),3.0,2.3,
55,55–60°,57.5,23,Ae. albopictus,Strict (0.4),2.0,2.0,
60,60–65°,62.5,1,Ae. albopictus,Strict (0.4),2.0,2.0,
