metric,value,category,display_value
total_cities,1423.0,total,1423.00
extended_suitability_aegypti,357.0,extended,357.00
extended_suitability_albopictus,358.0,extended,358.00
extended_suitability_aegypti_pct,25.1,extended,25.1%
extended_suitability_albopictus_pct,25.2,extended,25.2%
bimodal_aegypti,272.0,bimodal,272.00
bimodal_albopictus,314.0,bimodal,314.00
bimodal_albopictus_pct,22.1,bimodal,22.1%
bimodal_non_tropical_pct,59.9,bimodal,59.9%
altitude_protected,13.0,altitude,13.00
altitude_protected_pct,31.0,altitude,31.0%
median_season_aegypti_tropics,12.0,median,12.00
median_season_albopictus_tropics,12.0,median,12.00
median_divergence_tropics,0.0,median,0.00
city_count_tropics,446.0,city,446.00
median_season_aegypti_subtropics,5.0,median,5.00
median_season_albopictus_subtropics,4.0,median,4.00
median_divergence_subtropics,-1.0,median,-1.00
city_count_subtropics,736.0,city,736.00
median_season_aegypti_temperate,3.0,median,3.00
median_season_albopictus_temperate,3.0,median,3.00
median_divergence_temperate,1.0,median,1.00
city_count_temperate,241.0,city,241.00
lat_gradient_aegypti_per_10deg,-2.27,lat,-2.27
lat_gradient_albopictus_per_10deg,-2.26,lat,-2.26
lat_gradient_aegypti_r2,0.647,lat,0.65
lat_gradient_albopictus_r2,0.632,lat,0.63
lat_gradient_aegypti_per_10deg_posttropics,-2.06,lat,-2.06
lat_gradient_albopictus_per_10deg_posttropics,-0.58,lat,-0.58
lat_gradient_aegypti_r2_posttropics,0.521,lat,0.52
lat_gradient_albopictus_r2_posttropics,0.105,lat,0.10
extended_suitability_tropical_pct,91.3,extended,91.3%
extended_suitability_subtropical_pct,8.7,extended,8.7%
temperate_median_start_albopictus,6.0,temperate,6.00
temperate_median_end_albopictus,8.0,temperate,8.00
nh_city_count,1286.0,nh,1286.00
sh_city_count,137.0,sh,137.00
nh_city_pct,90.4,nh,90.4%
sh_city_pct,9.6,sh,9.6%
nh_peak_month_aegypti_mode,5.0,nh,5.00
sh_peak_dec_feb_aegypti_pct,54.7,sh,54.7%
sh_peak_dec_feb_albopictus_pct,54.0,sh,54.0%
season_aegypti_0mo_count,86.0,season,86.00
season_aegypti_0mo_pct,6.0,season,6.0%
season_aegypti_1mo_count,37.0,season,37.00
season_aegypti_1mo_pct,2.6,season,2.6%
season_aegypti_2mo_count,75.0,season,75.00
season_aegypti_2mo_pct,5.3,season,5.3%
season_aegypti_3mo_count,145.0,season,145.00
season_aegypti_3mo_pct,10.2,season,10.2%
season_aegypti_4mo_count,131.0,season,131.00
season_aegypti_4mo_pct,9.2,season,9.2%
season_aegypti_5mo_count,249.0,season,249.00
season_aegypti_5mo_pct,17.5,season,17.5%
season_aegypti_6mo_count,164.0,season,164.00
season_aegypti_6mo_pct,11.5,season,11.5%
season_aegypti_7mo_count,76.0,season,76.00
season_aegypti_7mo_pct,5.3,season,5.3%
season_aegypti_8mo_count,79.0,season,79.00
season_aegypti_8mo_pct,5.6,season,5.6%
season_aegypti_9mo_count,59.0,season,59.00
season_aegypti_9mo_pct,4.1,season,4.1%
season_aegypti_10mo_count,29.0,season,29.00
season_aegypti_10mo_pct,2.0,season,2.0%
season_aegypti_11mo_count,25.0,season,25.00
season_aegypti_11mo_pct,1.8,season,1.8%
season_aegypti_12mo_count,268.0,season,268.00
season_aegypti_12mo_pct,18.8,season,18.8%
season_albopictus_0mo_count,42.0,season,42.00
season_albopictus_0mo_pct,3.0,season,3.0%
season_albopictus_1mo_count,33.0,season,33.00
season_albopictus_1mo_pct,2.3,season,2.3%
season_albopictus_2mo_count,80.0,season,80.00
season_albopictus_2mo_pct,5.6,season,5.6%
season_albopictus_3mo_count,145.0,season,145.00
season_albopictus_3mo_pct,10.2,season,10.2%
season_albopictus_4mo_count,513.0,season,513.00
season_albopictus_4mo_pct,36.1,season,36.1%
season_albopictus_5mo_count,128.0,season,128.00
season_albopictus_5mo_pct,9.0,season,9.0%
season_albopictus_6mo_count,33.0,season,33.00
season_albopictus_6mo_pct,2.3,season,2.3%
season_albopictus_7mo_count,29.0,season,29.00
season_albopictus_7mo_pct,2.0,season,2.0%
season_albopictus_8mo_count,37.0,season,37.00
season_albopictus_8mo_pct,2.6,season,2.6%
season_albopictus_9mo_count,45.0,season,45.00
