city,country,lat,lon,population,month,temp_mean_c,rh_mean_pct,precip_sum_mm,vpd_kpa,photoperiod_h,vpd_score,temp_score_aegypti,temp_score_albopictus,photo_factor_albopictus_temperate_only,suitability_score_aegypti,suitability_score_albopictus,elevation_m
Tokyo,Japan,35.687,139.7495,37785000,1,4.85,62.3,70.2,0.325,9.84,1.0,0.0,0.0,0.0,0.0,0.0,32.0
Tokyo,Japan,35.687,139.7495,37785000,2,5.74,61.6,68.4,0.3523,10.7,1.0,0.0,0.0,0.0,0.0,0.0,32.0
Tokyo,Japan,35.687,139.7495,37785000,3,9.14,63.4,113.3,0.4238,11.73,1.0,0.0,0.0,0.5,0.0,0.0,32.0
Tokyo,Japan,35.687,139.7495,37785000,4,14.2,66.2,116.4,0.5472,12.91,1.0,0.0,0.2359,0.5,0.0,0.118,32.0
Tokyo,Japan,35.687,139.7495,37785000,5,18.89,69.8,133.4,0.66,13.89,1.0,0.3229,0.5836,1.0,0.3229,0.5836,32.0
Tokyo,Japan,35.687,139.7495,37785000,6,22.16,76.7,165.8,0.6221,14.4,1.0,0.5925,0.8262,1.0,0.5925,0.8262,32.0
Tokyo,Japan,35.687,139.7495,37785000,7,25.93,78.0,152.3,0.7369,14.19,1.0,0.9032,0.8949,1.0,0.9032,0.8949,32.0
Tokyo,Japan,35.687,139.7495,37785000,8,27.3,75.5,117.7,0.8879,13.35,1.0,0.9836,0.7938,0.5,0.9836,0.3969,32.0
Tokyo,Japan,35.687,139.7495,37785000,9,23.74,76.2,189.6,0.6976,12.21,1.0,0.7226,0.9433,0.5,0.7226,0.4716,32.0
Tokyo,Japan,35.687,139.7495,37785000,10,18.18,74.6,210.3,0.5303,11.07,1.0,0.2644,0.5309,0.0,0.2644,0.0,32.0
Tokyo,Japan,35.687,139.7495,37785000,11,12.61,71.1,92.9,0.4224,10.08,1.0,0.0,0.1179,0.0,0.0,0.0,32.0
Tokyo,Japan,35.687,139.7495,37785000,12,7.4,65.7,60.6,0.3536,9.59,1.0,0.0,0.0,0.0,0.0,0.0,32.0
Jakarta,Indonesia,-6.175,106.8275,33756000,1,26.33,84.0,310.2,0.5496,12.32,1.0,0.9366,0.8651,1.0,0.9366,0.8651,6.0
Jakarta,Indonesia,-6.175,106.8275,33756000,2,26.3,84.6,284.7,0.526,12.2,1.0,0.9345,0.867,1.0,0.9345,0.867,6.0
Jakarta,Indonesia,-6.175,106.8275,33756000,3,26.7,83.3,250.5,0.5848,12.04,1.0,0.9671,0.8378,1.0,0.9671,0.8378,6.0
Jakarta,Indonesia,-6.175,106.8275,33756000,4,27.0,83.0,211.3,0.6052,11.86,1.0,0.9917,0.8158,1.0,0.9917,0.8158,6.0
Jakarta,Indonesia,-6.175,106.8275,33756000,5,27.19,81.7,128.0,0.6599,11.72,1.0,0.9922,0.8015,1.0,0.9922,0.8015,6.0
Jakarta,Indonesia,-6.175,106.8275,33756000,6,26.99,79.5,94.3,0.7287,11.64,1.0,0.9908,0.8166,1.0,0.9908,0.8166,6.0
Jakarta,Indonesia,-6.175,106.8275,33756000,7,26.88,75.9,74.5,0.8516,11.67,1.0,0.9819,0.8246,1.0,0.9819,0.8246,6.0
